Time,Temp_C
1,31.450872079003602
2,30.00470543745905
3,36.358498602639884
4,32.44168183300644
5,31.2524445168674
6,32.643417390063405
7,35.78565155621618
8,30.098746116273105
9,33.0515676504001
10,30.843858579173684
11,33.074530076701194
12,35.14550858642906
13,33.31916390918195
14,32.598480875603855
15,36.72915790695697
16,34.89287683274597
17,37.21344977617264
18,37.5636601424776
19,30.32138172769919
20,34.42423740634695
21,30.042601684108377
22,32.98720348859206
23,34.700548553373665
24,35.066365061793476
25,37.2670451272279
26,30.02764575649053
27,39.89790638210252
28,39.52491712756455
29,36.1478085629642
30,31.13173051737249
31,39.98898981837556
32,36.97805832605809
33,35.8311090641655
34,31.20259221177548
35,37.4923191848211
36,33.075841441750526
37,39.43299610167742
38,30.886994134634733
39,38.63886506296694
40,36.42948816297576
41,30.262186934705824
42,38.26418117620051
43,39.676513406448066
44,30.44018330750987
45,36.627041280735284
46,36.13475115969777
47,37.9020686657168
48,37.75785922538489
49,39.66237107058987
50,32.887068486306816
51,34.60728568956256
52,30.188012798316777
53,39.769116553943604
54,37.05880901077762
55,35.15691134845838
56,37.269738372415304
57,36.69238971546292
58,34.83005529502407
59,35.619688315782696
60,34.47890597395599
61,30.995563946198672
62,36.91453516948968
63,33.499828439671546
64,37.77064187452197
65,31.03199096629396
66,39.33184363413602
67,38.03464864846319
68,37.062406591139734
69,37.14901467785239
70,30.409650797955692
71,31.091330947820097
72,33.42663338640705
73,35.80760090844706
74,33.15584237454459
75,37.461063547525555
76,36.66559002129361
77,33.87856257380918
78,31.448818491771817
79,32.93077699607238
80,37.820107457228005
81,37.601366464514285
82,35.47700764145702
83,32.8455772344023
84,36.24284542398527
85,34.510537658352405
86,34.316772173624486
87,37.87333968793973
88,31.274596718139946
89,35.404742893297225
90,39.93386478628963
91,32.21812847768888
92,31.56597429420799
93,32.87334953434765
94,36.184580794069916
95,32.48885924462229
96,36.156043582595885
97,38.66143324645236
98,31.69716643402353
99,39.41944480640814
100,37.50920713879168
