temp,color
95.97601499408484,blue
87.84301672130823,blue
98.45597218954936,blue
66.77690088981763,blue
56.458305194973946,blue
68.12170778866857,blue
62.4863215489313,blue
78.06978033622727,blue
58.40215503703803,blue
64.12602787604555,blue
90.54257788229734,blue
99.07924543367699,blue
74.65419921791181,blue
90.98274310817942,blue
86.51670551626012,blue
79.17970407288522,blue
69.64903979096562,blue
98.97195354569703,blue
77.49123801477253,blue
66.20943925809115,blue
57.383368525188416,blue
77.1847155643627,blue
69.35576499672607,blue
94.66627344954759,blue
63.178876927122474,blue
75.87978200754151,blue
80.69291840074584,blue
81.06790070887655,blue
65.15122313285246,blue
82.53055649111047,blue
