temp,color
97.59436656022444,blue
99.57071967655793,blue
97.86756068933755,blue
54.50598706956953,blue
53.78939073998481,blue
95.19104558276013,blue
55.72450179606676,blue
92.46900723082945,blue
82.90626049274579,blue
99.63917154818773,blue
57.982271851506084,blue
92.84344093175605,blue
58.108341752085835,blue
57.04091239022091,blue
59.385977988131344,blue
89.48262009071186,blue
58.890160580631346,blue
66.8291834066622,blue
90.02644661813974,blue
59.345773281529546,blue
65.94065758399665,blue
80.69264807272702,blue
61.737150012049824,blue
53.338322637137026,blue
87.42689052596688,blue
87.66666407464072,blue
66.37584543786943,blue
54.209728620480746,blue
50.689103873446584,blue
64.23647191841155,blue
