temp,color
64.70091814408079,blue
73.51159277604893,blue
73.27708752127364,blue
97.86108380649239,blue
52.247505576815456,blue
62.29749321937561,blue
56.80997213348746,blue
61.23417945345864,blue
76.82615134399384,blue
85.0571530405432,blue
86.7879481986165,blue
52.077881584409624,blue
55.45320906676352,blue
79.70717749558389,blue
79.30028507253155,blue
96.48679753299803,blue
78.9662258932367,blue
97.23820488434285,blue
56.500901770778,blue
54.699239355977625,blue
85.90683797374368,blue
89.93631454650313,blue
83.34857716690749,blue
82.8559466986917,blue
55.670157191343606,blue
95.87523400550708,blue
96.1681830463931,blue
92.79008819721639,blue
82.07760670920834,blue
50.2570815035142,blue
