ms,degC
1,36.53
1001,37.06
2001,36.47
3001,37.97
4001,36.88
5001,36.42
6001,37.41
7001,36.1
8001,36.21
9001,37.29
10001,36.02
11001,37.85
12001,37.49
13001,37.21
14001,36.33
15001,37.78
16001,36.9
17001,37.93
18001,37.15
19001,36.02
20001,36.15
21001,36.12
22001,37.79
23001,36.86
24001,36.15
25001,37.83
26001,37.27
27001,36.29
28001,36.65
29001,37.28
30001,37.14
31001,37.2
32001,36.95
33001,37.98
34001,37.57
35001,36.04
36001,37.54
37001,36.75
38001,37.4
39001,37.79
40001,37.76
41001,38
42001,37.32
43001,36.92
44001,36.57
45001,37.42
46001,37.48
47001,36.43
48001,37.38
49001,36.72
50001,36.27
51001,36.22
52001,37.59
53001,36.15
54001,36.9
55001,37.2
56001,37.7
57001,37.31
58001,36.56
59001,37.4
60001,37.14
61001,36.49
62001,36.29
63001,37.85
64001,36.81
65001,36.26
66001,37.62
67001,37.64
68001,36.74
69001,37.45
70001,36.04
71001,37.19
72001,36.94
73001,37
74001,37.21
75001,36.91
76001,36.24
77001,37.17
78001,36.59
79001,36.77
80001,36.07
81001,36.06
82001,37.32
83001,37.47
84001,36.58
85001,36.99
86001,37.42
87001,37.75
88001,37.23
89001,37.33
90001,36.37
91001,36.5
92001,37.07
93001,36.57
94001,36.01
95001,37.53
96001,37.2
97001,36.67
98001,36.72
99001,36.16
