temp,color
58.83378885919228,blue
60.80758691532537,blue
74.1644395631738,blue
97.27129931561649,blue
83.85227886028588,blue
62.60119491489604,blue
93.48646545549855,blue
62.92058861581609,blue
54.14487160742283,blue
93.54763207957149,blue
53.76801015809178,blue
51.90036608837545,blue
71.44981854362413,blue
69.46182221872732,blue
97.7754907333292,blue
59.715439670253545,blue
97.05186351202428,blue
96.84868695912883,blue
57.07864618161693,blue
94.52631584135816,blue
83.65898764459416,blue
89.66192275984213,blue
97.25118677597493,blue
93.43596970429644,blue
82.69380937563255,blue
71.80832250742242,blue
75.81237534759566,blue
64.65566479600966,blue
78.62111718859524,blue
81.2192803947255,blue
