temp,color
92.48742480995134,blue
90.37339434726164,blue
79.70648023765534,blue
85.41370815364644,blue
99.64562080567703,blue
98.67046849103644,blue
51.196837110910565,blue
87.54278061678633,blue
90.99798180395737,blue
61.4915358251892,blue
57.485102862119675,blue
61.16851514670998,blue
89.44087054114789,blue
67.44826921494678,blue
80.38816733751446,blue
83.35759438341483,blue
74.70428320812061,blue
51.407641801051795,blue
69.07801883062348,blue
81.88283668132499,blue
83.58061002800241,blue
59.058258740697056,blue
61.99025674723089,blue
74.99571529915556,blue
69.9825509218499,blue
69.66019076062366,blue
58.088894409593195,blue
84.46380643872544,blue
99.02239631628618,blue
78.12036767136306,blue
