"","n","force"
"1",1,-3.29863925539888
"2",2,3.69699758214156
"3",3,1.54004722296017
"4",4,3.27343818886574
"5",5,4.58632430044197
"6",6,-2.87852381621995
"7",7,-1.77338775711085
"8",8,1.64850090414635
"9",9,-3.44971469548917
"10",10,1.35047097301799
"11",11,-2.20648649617122
"12",12,0.0154128389807126
"13",13,0.679990534251654
"14",14,5.02740000169213
"15",15,4.65610445138422
"16",16,-0.657012491011375
"17",17,3.19133298880293
"18",18,-0.912494132967868
"19",19,2.38314642820246
"20",20,-2.15850538704245
"21",21,-0.809310285536885
"22",22,0.899540753255586
"23",23,-2.84376793019067
"24",24,4.24898948327125
"25",25,-2.13513123536032
"26",26,-2.90827692420255
"27",27,6.30985742888354
"28",28,4.94598130598204
"29",29,7.19568805986256
"30",30,7.43190025321774
"31",31,2.93347440474972
"32",32,6.20871867699299
"33",33,5.75917901851351
"34",34,13.5885412292178
"35",35,7.47534487038641
"36",36,15.1823318148265
"37",37,12.2606254296588
"38",38,13.2652033977086
"39",39,15.0767455212232
"40",40,16.9305397415552
"41",41,19.5146017932991
"42",42,20.5907447854724
"43",43,27.6388408987576
"44",44,33.1520854619233
"45",45,32.1708662739526
"46",46,29.4121180044267
"47",47,29.5629169532618
"48",48,29.6131455406958
"49",49,24.3122103554351
"50",50,22.0808372254756
"51",51,20.547348314875
"52",52,20.9598311267669
"53",53,18.4119505386538
"54",54,15.5614247045148
"55",55,12.0540585222315
"56",56,17.3866696214474
"57",57,9.45621515724299
"58",58,9.31546228825196
