"","n","force"
"1",1,-2.15347072006203
"2",2,4.87908531852337
"3",3,-5.55455166788448
"4",4,4.05737032326487
"5",5,1.85783893291726
"6",6,7.81665444675197
"7",7,-7.27890197528358
"8",8,4.66415784636256
"9",9,6.90690912230472
"10",10,1.25789312902703
"11",11,-0.883502350948187
"12",12,2.54415862580856
"13",13,1.57372806476257
"14",14,11.8836126437716
"15",15,12.1903367085343
"16",16,12.2694810758773
"17",17,15.2477576233323
"18",18,33.4542832901219
"19",19,23.1692196631326
"20",20,41.7332370792866
"21",21,41.6381255210233
"22",22,50.2769420613795
"23",23,39.8330638999074
"24",24,46.788818939339
"25",25,52.142919402017
"26",26,40.2011554318654
"27",27,38.7057127411093
"28",28,29.3973748485157
"29",29,37.0463237179998
"30",30,24.5887095936711
"31",31,15.6010307815614
"32",32,17.682599936061
"33",33,5.52218020269004
"34",34,15.5749892042099
"35",35,3.61290564892181
"36",36,3.92376920084342
"37",37,-0.581856766418286
"38",38,-0.117384697828653
"39",39,7.13548589882417
"40",40,6.80055028701948
