"","n","force"
"1",1,2.97437705651857
"2",2,9.64597244365333
"3",3,-5.04460369830641
"4",4,10.4648936526773
"5",5,-10.4495016334294
"6",6,4.52299295222482
"7",7,10.1994494168366
"8",8,-3.73303089943879
"9",9,-2.02728337504905
"10",10,-2.82377261177192
"11",11,-10.1313484909972
"12",12,0.199828970048471
"13",13,6.89599354948423
"14",14,-2.38514946621409
"15",15,9.27464615949262
"16",16,-0.297360627679596
"17",17,3.94933814772933
"18",18,-4.86252824846873
"19",19,10.1399259260229
"20",20,11.1557721637062
"21",21,7.61897272892073
"22",22,10.8128317564301
"23",23,-3.42982031784484
"24",24,-3.12282941865425
"25",25,-6.76335005974853
"26",26,14.0473227988684
"27",27,1.07915466454358
"28",28,12.3650475287618
"29",29,20.0231726629247
"30",30,23.7250560169274
"31",31,29.6451174896204
"32",32,35.1519122917197
"33",33,63.2382505549591
"34",34,77.5410734449771
"35",35,79.4994585640455
"36",36,97.4981132840391
"37",37,111.877902508302
"38",38,114.62338670712
"39",39,114.716453344569
"40",40,111.787478337951
"41",41,98.8617155703219
"42",42,86.9075802559116
"43",43,64.1824615874551
"44",44,52.8096964760275
"45",45,50.6487836224536
"46",46,35.7427656509656
"47",47,16.9633290556413
"48",48,7.08594332408016
"49",49,2.96971715366354
"50",50,4.88039282040364
"51",51,-0.256973320965812
"52",52,-1.5993047053655
"53",53,-2.95757950707483
"54",54,-3.51880307789284
"55",55,8.60715487771574
"56",56,3.55601607505625
"57",57,-8.17750682370009
"58",58,1.36280443717418
"59",59,0.790498130882103
"60",60,6.53419591035089
"61",61,-1.44190554935133
