"","n","force"
"1",1,-3.97064132751431
"2",2,-4.08831232004331
"3",3,-3.35457378533189
"4",4,4.1579205270493
"5",5,3.93368719088892
"6",6,0.951391630047119
"7",7,-2.73671529310115
"8",8,-4.83840215032176
"9",9,3.51414450786075
"10",10,4.77376828510726
"11",11,-0.657074352170786
"12",12,-5.8249887193183
"13",13,2.81471735399414
"14",14,2.49188288974734
"15",15,5.36143294581777
"16",16,-3.54178401280966
"17",17,7.31380081588077
"18",18,1.89324550901303
"19",19,-4.12389557625915
"20",20,3.88540165212079
"21",21,2.06764426264784
"22",22,-7.83663525397639
"23",23,-3.84448596296288
"24",24,-2.15419738558743
"25",25,1.71480150768244
"26",26,-4.74631649790185
"27",27,-0.462556733079479
"28",28,8.90178285382107
"29",29,-3.96268217801134
"30",30,0.114032053041379
"31",31,14.0325579447773
"32",32,21.1439967677672
"33",33,24.2100770908612
"34",34,25.3307377564907
"35",35,43.8581498767264
"36",36,57.0778583196076
"37",37,68.2675134274677
"38",38,83.2135828523973
"39",39,89.7584508766225
"40",40,80.5537611195955
"41",41,84.0319308483191
"42",42,92.5728329131027
"43",43,82.2275917470196
"44",44,68.0497999839542
"45",45,49.7026191578744
"46",46,32.7737701909891
"47",47,38.2698568053153
"48",48,29.4441225693481
"49",49,15.9023754402793
"50",50,14.0263946278502
"51",51,8.36267996250549
"52",52,6.81136683440303
"53",53,-5.47424671241307
"54",54,4.93423888973485
"55",55,4.35932191649689
"56",56,-4.7558019706
"57",57,6.22511940339847
"58",58,1.60701873587
"59",59,-2.93746666681831
"60",60,-6.43265835161112
