"","n","force"
"1",1,5.33585890290446
"2",2,-4.18508388831393
"3",3,5.03864492601261
"4",4,-1.13000003037026
"5",5,1.14092833811737
"6",6,-2.99363006240341
"7",7,1.67668632725953
"8",8,0.692267678284381
"9",9,1.65341415479476
"10",10,6.20558723353551
"11",11,5.67404641553604
"12",12,14.8315745050589
"13",13,25.6907131108104
"14",14,32.2466326682035
"15",15,46.1741461535703
"16",16,46.7868051579434
"17",17,40.2969156556748
"18",18,31.6917237308573
"19",19,21.7195629554622
"20",20,16.4942602028385
"21",21,6.60826394183916
"22",22,8.50535274589254
"23",23,2.51021227760815
"24",24,4.9472072240339
"25",25,0.73143256271286
"26",26,-2.51119898383041
"27",27,-2.57796241680187
"28",28,4.43896043861978
"29",29,3.73127901867531
"30",30,-4.96146952310186
"31",31,-5.48586192697446
"32",32,-4.74973525413064
"33",33,-3.92314382101495
"34",34,0.260815215866845
"35",35,3.90665404986978
"36",36,-2.91145464070141
