"","n","force"
"1",1,61.4618087618146
"2",2,86.2661974118511
"3",3,-48.7749870915565
"4",4,-126.350992662969
"5",5,94.3557389467039
"6",6,134.498992842967
"7",7,88.1763069698009
"8",8,66.1701716187747
"9",9,-49.9910203452924
"10",10,71.0213823205868
"11",11,117.377050227451
"12",12,128.651393402505
"13",13,26.2506573463626
"14",14,88.7629855902881
"15",15,-27.3975943850198
"16",16,66.267046748777
"17",17,-113.772936619289
"18",18,-111.53358138028
"19",19,-57.9999159091272
"20",20,-46.0271040658859
"21",21,-108.245767250721
"22",22,59.5451227348724
"23",23,-53.6770918437868
"24",24,-111.763715992752
"25",25,-42.8517531127043
"26",26,63.5359114532444
"27",27,-89.2019672493295
"28",28,-61.1725417580688
"29",29,-46.1193426896312
"30",30,-73.7263632411978
"31",31,-67.0370933215426
"32",32,11.0711620887486
"33",33,-11.0873372080179
"34",34,1.22696496596743
"35",35,6.14617359938742
"36",36,49.3127462907104
"37",37,133.136319138703
"38",38,357.361422013137
"39",39,320.385743494001
"40",40,448.973948541363
"41",41,670.975816182307
"42",42,979.496332790256
"43",43,982.707351052526
"44",44,1208.19789381481
"45",45,1287.51349609062
"46",46,1296.96392455141
"47",47,1258.75878337481
"48",48,1312.04523759063
"49",49,1343.98514909694
"50",50,1065.09818883496
"51",51,1124.33520407946
"52",52,1003.06703974258
"53",53,745.008154982761
"54",54,625.865924754541
"55",55,355.794521823993
"56",56,361.166205332066
"57",57,178.46382594142
"58",58,249.107239074478
"59",59,21.8049111653332
"60",60,58.5133997937919
"61",61,1.74300808106535
"62",62,-64.4584092618522
"63",63,-81.277986112533
"64",64,15.95732765187
"65",65,73.7390077245718
"66",66,48.6246437398083
"67",67,-124.213779636443
"68",68,68.995160205159
"69",69,105.557025250237
"70",70,-25.5025964181389
"71",71,-113.09483633774
"72",72,-63.9969657537374
"73",73,123.077094106075
"74",74,113.159773184572
"75",75,-122.053126297986
"76",76,-95.189037792983
"77",77,-109.57067321264
"78",78,-73.6413154268295
"79",79,-27.5552322463426
"80",80,64.343991728957
"81",81,-34.9364078124212
"82",82,87.1199248014077
"83",83,-111.97829968342
"84",84,130.382318468878
"85",85,16.8827921388494
