"","n","force"
"1",1,2.75078721971717
"2",2,-3.29659869486322
"3",3,-8.89679145533612
"4",4,6.4421469930322
"5",5,-1.86023407514562
"6",6,3.66594048597392
"7",7,-5.24951336522967
"8",8,-7.18841653606621
"9",9,-4.10684140761761
"10",10,3.46331257619726
"11",11,-8.49898945526141
"12",12,2.25874815815851
"13",13,-7.30390206036914
"14",14,3.75767709762065
"15",15,-3.29059231048586
"16",16,-7.00206383903848
"17",17,-8.41612749421135
"18",18,-5.72711410338231
"19",19,2.96523591311821
"20",20,9.56272709931812
"21",21,9.23151398398399
"22",22,2.58799371943724
"23",23,-3.84985415964375
"24",24,7.6842268832446
"25",25,9.57786415917337
"26",26,7.84034427721575
"27",27,18.8467627026046
"28",28,21.0689742198103
"29",29,15.2206678329914
"30",30,22.2787390788753
"31",31,15.6260416770845
"32",32,31.3406857877944
"33",33,30.1414501575569
"34",34,30.583445837992
"35",35,34.3422222383519
"36",36,46.1181303525176
"37",37,40.4682109368644
"38",38,44.5325633783477
"39",39,62.81524708838
"40",40,49.1521058315078
"41",41,56.0453315105257
"42",42,58.2766366149635
"43",43,66.9738510499074
"44",44,56.2351079583124
"45",45,60.7039308522711
"46",46,70.7232414347859
"47",47,62.0205426651924
"48",48,62.1465380525201
"49",49,64.7942998955932
"50",50,62.5166234526619
"51",51,56.2430541231895
"52",52,52.1093384130861
"53",53,33.9894434746312
"54",54,35.0391344052419
"55",55,25.1324355639959
"56",56,35.1742556744377
"57",57,24.8201380520889
"58",58,30.2048359025096
"59",59,10.8546354111133
"60",60,8.45993890286113
"61",61,14.7178027154298
"62",62,11.7328741512874
"63",63,16.872356129613
"64",64,1.97844441221889
"65",65,0.00549847895803346
"66",66,13.2902652181301
"67",67,-1.28009082448747
