sp,id,file_name,depth,habitat,size,ref,depth_max
Cetorhinus maximus,90,Cemax_u1.gif,0-100,pelagic,1520,NA,100
Chlamydoselachus anguineus,635,Chang_u0.gif,120-1280,benthic,196,NA,1280
Echinorhinus brucus,641,Ecbru_u0.gif,350-900,benthic,310,NA,900
Echinorhinus cookei,642,Eccoo_u0.gif,11-424,benthic,400,NA,424
Aculeola nigra,644,Acnig_u0.gif,110-560,benthic,60,NA,560
Centrophorus granulosus,648,Cegra_u0.gif,200-1200,benthic,150,NA,1200
Centrophorus harrissoni,649,Cehar_u0.gif,250-384,benthic,80,NA,384
Centrophorus squamosus,653,Cesqu_u0.gif,229-2359,benthic,158,NA,2359
Centroscyllium fabricii,656,Cefab_u0.gif,180-1600,pelagic,107,NA,1600
Centroscyllium granulatum,657,Cegra_u1.gif,-450,pelagic,28,NA,450
Centroscyllium nigrum,660,Cenig_u0.gif,400-1143,pelagic,50,NA,1143
Centroscyllium ritteri,661,Cerit_u0.gif,NA,pelagic,43,NA,NA
Centroscymnus coelolepis,662,Cecoe_u0.gif,270-365,benthic,114,NA,365
Centroselachus crepidater,663,Cecre_u0.gif,270-1070,benthic,90,NA,1070
Centroscymnus owstonii,666,Ceows_u0.gif,100-1500,benthic,148,NA,1500
Cirrhigaleus barbifer,668,Cibar_u0.gif,360-494,benthic,122,NA,494
Dalatias licha,669,Dalic_u0.gif,200-1800,benthic,159,NA,1800
Deania hystricosa,671,Dehys_u0.gif,600-1200,benthic,109,NA,1200
Deania profundorum,672,Depro_u0.gif,275-1785,benthic,76,NA,1785
Deania quadrispinosa,673,Dequa_u0.gif,150-732,benthic,110,NA,732
Etmopterus brachyurus,675,Etbra_u0.gif,-450,pelagic,23,NA,450
Etmopterus granulosus,679,Etgra_u1.gif,220-637,pelagic,38,NA,637
Etmopterus polli,682,Etpol_u0.gif,300-1000,pelagic,24,NA,1000
Etmopterus princeps,683,Etpri_u0.gif,567-2213,pelagic,75,NA,2213
Etmopterus schultzi,685,Etsch_u0.gif,384-782,pelagic,30,NA,782
Etmopterus spinax,687,Etspi_u0.gif,70-2000,pelagic,60,NA,2000
Etmopterus unicolor,688,Etuni_u0.gif,-900,pelagic,64,fb,900
Euprotomicrus bispinatus,693,Eubis_u0.gif,100-1500,pelagic,27,NA,1500
Cirrhigaleus asper,707,Sqasp_u0.gif,214-600,benthic,118,NA,600
Carcharias taurus,747,Catau_u1.gif,0-191,benthic,318,NA,191
Carcharodon carcharias,751,Cacar_u1.gif,0-1280,pelagic,640,NA,1280
